,Series_Title,Released_Year,Genre,Overview,IMDB_Rating,Director,Stars
255,Fargo,1996,crime drama thriller,jerri lundegaard inept crime fall apart henchmen bungl persist polic work quit pregnant marg gunderson,8.1,joel coen,ethan coen william h maci franc mcdormand steve buscemi
256,Underground,1995,comedi drama war,group serbian socialist prepar war surreal underground fill parti tragedi love hate,8.1,emir kusturica,predrag miki manojlov lazar ristovski mirjana jokov slavko stimac
257,La haine,1995,crime drama,hour live young men french suburb day violent riot,8.1,mathieu kassovitz,vincent cassel hubert koundé saïd taghmaoui abdel ahm ghili
258,Dilwale Dulhania Le Jayenge,1995,drama romanc,raj meet simran europ isnt love sight simran move india arrang marriag love make presenc felt,8.1,aditya chopra,shah rukh khan kajol amrish puri farida jalal
259,Before Sunrise,1995,drama romanc,young man woman meet train europ wind spend even vienna unfortun know probabl night,8.1,richard linklat,ethan hawk juli delpi andrea eckert hanno pöschl
260,Trois couleurs: Rouge,1994,drama mysteri romanc,model discov retir judg keen invad peopl privaci,8.1,krzysztof kieslowski,irèn jacob jeanloui trintign frédériqu feder jeanpierr lorit
261,Chung Hing sam lam,1994,comedi crime drama,melancholi hong kong policemen fall love mysteri femal underworld figur beauti ether server latenight restaur frequent,8.1,karwai wong,brigitt lin takeshi kaneshiro toni chiuwai leung fay wong
262,Jurassic Park,1993,action adventur scifi,pragmat paleontologist visit complet theme park task protect coupl kid power failur caus park clone dinosaur run loos,8.1,steven spielberg,sam neill laura dern jeff goldblum richard attenborough
263,In the Name of the Father,1993,biographi crime drama,man coerc confess ira bomb did commit result imprison father english lawyer fight free,8.1,jim sheridan,daniel daylewi pete postlethwait alison crosbi philip king
264,Ba wang bie ji,1993,drama music romanc,boy meet opera train school peke result friendship span nearli year endur troublesom time china histori,8.1,kaig chen,lesli cheung fengyi zhang gong li ge
265,Dà hóng denglong gaogao guà,1991,drama histori romanc,young woman fourth wife wealthi lord learn live strict rule tension household,8.1,yimou zhang,gong li jingwu ma saifei cuifen cao
266,Dead Poets Society,1989,comedi drama,maverick teacher john keat use poetri embolden board school student new height selfexpress,8.1,peter weir,robin william robert sean leonard ethan hawk josh charl
267,Stand by Me,1986,adventur drama,death friend writer recount childhood journey friend bodi miss boy,8.1,rob reiner,wil wheaton river phoenix corey feldman jerri oconnel
268,Platoon,1986,drama war,chri taylor neophyt recruit vietnam find caught battl will sergeant good evil shrewd examin brutal war dualiti man conflict,8.1,oliv stone,charli sheen tom bereng willem dafo keith david
269,"Paris, Texas",1984,drama,travi henderson aimless drifter miss year wander desert reconnect societi life famili,8.1,wim wender,harri dean stanton nastassja kinski dean stockwel auror clément
270,Kaze no tani no Naushika,1984,anim adventur fantasi,warrior pacifist princess nausicaä desper struggl prevent war nation destroy die planet,8.1,hayao miyazaki,sumi shimamoto mahito tsujimura hisako kyôda gorô naya
271,The Thing,1982,horror mysteri scifi,research team antarctica hunt shapeshift alien assum appear victim,8.1,john carpent,kurt russel wilford brimley keith david richard masur
272,Pink Floyd: The Wall,1982,drama fantasi music,confin troubl rock star descend mad midst physic social isol,8.1,alan parker,bob geldof christin hargreav jame laurenson eleanor david
273,Fitzcarraldo,1982,adventur drama,stori brian sweeney fitzgerald extrem determin man intend build opera hous middl jungl,8.1,werner herzog,klau kinski claudia cardinal josé lewgoy miguel ángel fuent
274,Fanny och Alexander,1982,drama,young swedish children experi comedi tragedi famili ekdahl,8.1,ingmar bergman,bertil guve pernilla allwin kristina adolphson börje ahlstedt
275,Blade Runner,1982,action scifi thriller,blade runner pursu termin replic stole ship space return earth creator,8.1,ridley scott,harrison ford rutger hauer sean young edward jame olmo
276,The Elephant Man,1980,biographi drama,victorian surgeon rescu heavili disfigur man mistreat scrape live sideshow freak monstrou façad reveal person kind intellig sophist,8.1,david lynch,anthoni hopkin john hurt ann bancroft john gielgud
277,Life of Brian,1979,comedi,born origin christma stabl door jesu christ brian nazareth spend life mistaken messiah,8.1,terri jone,graham chapman john clees michael palin terri gilliam
278,The Deer Hunter,1978,drama war,indepth examin way vietnam war impact disrupt live peopl small industri town pennsylvania,8.1,michael cimino,robert niro christoph walken john cazal john savag
279,Rocky,1976,drama sport,smalltim boxer get suprem rare chanc fight heavyweight champion bout strive distanc selfrespect,8.1,john g avildsen,sylvest stallon talia shire burt young carl weather
280,Network,1976,drama,televis network cynic exploit derang anchor rave revel news media profit,8.1,sidney lumet,fay dunaway william holden peter finch robert duval
281,Barry Lyndon,1975,adventur drama histori,irish rogu win heart rich widow assum dead husband aristocrat posit thcenturi england,8.1,stanley kubrick,ryan oneal marisa berenson patrick mage hardi krüger
282,Zerkalo,1975,biographi drama,die man forti rememb past childhood mother war person moment thing tell recent histori russian nation,8.1,andrei tarkovski,margarita terekhova filipp yankovskiy ignat daniltsev oleg yankovskiy
283,Chinatown,1974,drama mysteri thriller,privat detect hire expos adulter find caught web deceit corrupt murder,8.1,roman polanski,jack nicholson fay dunaway john huston perri lopez
284,Paper Moon,1973,comedi crime drama,great depress man find saddl young girl daughter forg unlik partnership,8.1,peter bogdanovich,ryan oneal tatum oneal madelin kahn john hillerman
285,Viskningar och rop,1972,drama,woman die cancer earli twentiethcenturi sweden visit sister longrepress feel sibl rise surfac,8.1,ingmar bergman,harriet andersson liv ullmann kari sylwan ingrid thulin
286,Solaris,1972,drama mysteri scifi,psychologist sent station orbit distant planet order discov caus crew insan,8.1,andrei tarkovski,natalya bondarchuk donata banioni jüri järvet vladislav dvorzhetskiy
287,Le samouraï,1967,crime drama mysteri,profession hitman jef costello seen wit effort provid alibi drive corner,8.1,jeanpierr melvil,alain delon françoi périer nathali delon cathi rosier
288,Cool Hand Luke,1967,crime drama,laid southern man sentenc year rural prison refus conform,8.1,stuart rosenberg,paul newman georg kennedi strother martin jd cannon
289,Persona,1966,drama thriller,nurs charg mute actress find persona meld,8.1,ingmar bergman,bibi andersson liv ullmann margaretha krook gunnar björnstrand
290,Andrei Rublev,1966,biographi drama histori,life time afflict fifteenthcenturi russian iconograph st andrei rublev,8.1,andrei tarkovski,anatoliy solonitsyn ivan lapikov nikolay grinko nikolay sergeev
291,La battaglia di Algeri,1966,drama war,s fear violenc escal peopl algier fight independ french govern,8.1,gillo pontecorvo,brahim hadjadj jean martin yacef saadi samia kerbash
292,El ángel exterminador,1962,drama fantasi,guest upperclass dinner parti unabl leav,8.1,lui buñuel,silvia pinal jacquelin ander enriqu rambal josé baviera
293,What Ever Happened to Baby Jane?,1962,drama horror thriller,child star torment parapleg sister decay hollywood mansion,8.1,robert aldrich,bett davi joan crawford victor buono wesley addi
294,Sanjuro,1962,action comedi crime,crafti samurai help young man fellow clansmen save uncl frame imprison corrupt superintend,8.1,akira kurosawa,toshirô mifun tatsuya nakadai keiju kobayashi yûnosuk itô
295,The Man Who Shot Liberty Valance,1962,drama western,senat return western town funer old friend tell stori origin,8.1,john ford,jame stewart john wayn vera mile lee marvin
296,Ivanovo detstvo,1962,drama war,ww year old soviet orphan ivan bondarev work soviet armi scout german line strike friendship sympathet soviet offic,8.1,andrei tarkovski,eduard abalov nikolay burlyaev valentin zubkov evgeniy zharikov
297,Jungfrukällan,1960,drama,innoc pamper young virgin famili pregnant jealou servant set deliv candl church return event transpir wood way,8.1,ingmar bergman,max von sydow birgitta valberg gunnel lindblom birgitta pettersson
298,Inherit the Wind,1960,biographi drama histori,base reallif case great lawyer argu case scienc teacher accus crime teach evolut,8.1,stanley kramer,spencer traci fredric march gene kelli dick york
299,Les quatre cents coups,1959,crime drama,young boy left attent delv life petti crime,8.1,françoi truffaut,jeanpierr léaud albert rémi clair maurier guy decombl
300,Ben-Hur,1959,adventur drama histori,jewish princ betray sent slaveri roman friend regain freedom come reveng,8.1,william wyler,charlton heston jack hawkin stephen boyd haya harareet
301,Kakushi-toride no san-akunin,1958,adventur drama,lure gold greedi peasant unknowingli escort princess gener enemi line,8.1,akira kurosawa,toshirô mifun misa uehara minoru chiaki kamatari fujiwara
302,Le notti di Cabiria,1957,drama,waifish prostitut wander street rome look true love find heartbreak,8.1,federico fellini,giulietta masina françoi périer franca marzi dorian gray
303,Kumonosu-jô,1957,drama histori,warharden gener eg ambiti wife work fulfil propheci lord spider web castl,8.1,akira kurosawa,toshirô mifun minoru chiaki isuzu yamada takashi shimura
304,The Bridge on the River Kwai,1957,adventur drama war,british pow forc build railway bridg river kwai japanes captor know alli forc plan destroy,8.1,david lean,william holden alec guin jack hawkin sessu hayakawa
305,On the Waterfront,1954,crime drama thriller,expriz fighter turn longshoreman struggl stand corrupt union boss,8.1,elia kazan,marlon brando karl malden lee j cobb rod steiger
306,Le salaire de la peur,1953,adventur drama thriller,decrepit south american villag men hire transport urgent nitroglycerin shipment equip make safe,8.1,henrigeorg clouzot,yve montand charl vanel peter van eyck folco lulli
307,Ace in the Hole,1951,drama filmnoir,frustrat bigciti journalist stuck work albuquerqu newspap exploit stori man trap cave rekindl career situat quickli escal outofcontrol circu,8.1,billi wilder,kirk dougla jan sterl robert arthur porter hall
308,White Heat,1949,action crime drama,psychopath crimin mother complex make dare break prison lead old gang chemic plant payrol heist,8.1,raoul walsh,jame cagney virginia mayo edmond obrien margaret wycherli
309,The Third Man,1949,filmnoir mysteri thriller,pulp novelist holli martin travel shadowi postwar vienna investig mysteri death old friend harri lime,8.1,carol reed,orson well joseph cotten alida valli trevor howard
310,The Red Shoes,1948,drama music romanc,young ballet dancer torn man love pursuit prima ballerina,8.1,michael powel,emer pressburg anton walbrook mariu gore moira shearer
311,The Shop Around the Corner,1940,comedi drama romanc,employe gift shop bare stand realiz fall love post anonym pen pal,8.1,ernst lubitsch,margaret sullavan jame stewart frank morgan joseph schildkraut
312,Rebecca,1940,drama mysteri romanc,selfconsci woman juggl adjust new role aristocrat wife avoid intimid wife spectral presenc,8.1,alfr hitchcock,laurenc olivi joan fontain georg sander judith anderson
313,Mr. Smith Goes to Washington,1939,comedi drama,naiv man appoint vacanc unit state senat plan promptli collid polit corrupt doesnt,8.1,frank capra,jame stewart jean arthur claud rain edward arnold
314,Gone with the Wind,1939,drama histori romanc,manipul woman roguish man conduct turbul romanc american civil war reconstruct period,8.1,victor fleme,georg cukor sam wood clark gabl vivien leigh
315,La Grande Illusion,1937,drama war,wwi french soldier captur imprison german pow camp escap attempt follow eventu sent seemingli inescap fortress,8.1,jean renoir,jean gabin dita parlo pierr fresnay erich von stroheim
316,It Happened One Night,1934,comedi romanc,renegad report crazi young heiress meet bu head new york end stuck bu leav stop,8.1,frank capra,clark gabl claudett colbert walter connolli rosco karn
317,La passion de Jeanne d'Arc,1928,biographi drama histori,jeann darc place trial charg heresi ecclesiast jurist attempt forc jeann recant claim holi vision,8.1,carl theodor dreyer,maria falconetti eugen silvain andré berley mauric schutz
318,The Circus,1928,comedi romanc,tramp find work girl dream circu,8.1,charl chaplin,charl chaplin merna kennedi al ernest garcia harri crocker
319,Sunrise: A Song of Two Humans,1927,drama romanc,allegor tale man fight good evil side flesh sophist woman attract wife,8.1,fw murnau,georg obrien janet gaynor margaret livingston bodil rose
320,The General,1926,action adventur comedi,union spi steal engin belov locomot pursu singlehandedli straight enemi line,8.1,clyde bruckman,buster keaton buster keaton marion mack glen cavend
321,Das Cabinet des Dr. Caligari,1920,fantasi horror mysteri,hypnotist dr caligari use somnambulist cesar commit murder,8.1,robert wien,werner krauss conrad veidt friedrich feher lil dagov
322,Badhaai ho,2018,comedi drama,man embarrass find mother pregnant,8.0,amit ravindernath sharma,ayushmann khurrana neena gupta gajraj rao sanya malhotra
323,Togo,2019,adventur biographi drama,stori togo sled dog led serum run consid small weak lead intens race,8.0,ericson core,willem dafo juliann nicholson christoph heyerdahl richard dormer
324,Airlift,2016,drama histori,iraq invad kuwait august callou indian businessman spokesperson strand countrymen,8.0,raja menon,akshay kumar nimrat kaur kumud mishra prakash belawadi
325,Bajrangi Bhaijaan,2015,action adventur comedi,indian man magnanim heart take young mute pakistani girl homeland reunit famili,8.0,kabir khan,salman khan harshaali malhotra nawazuddin siddiqui kareena kapoor
326,Baby,2015,action crime thriller,elit counterintellig unit learn plot mastermind maniac madman clock tick track terrorist intern tentacl prevent strike heart india,8.0,neeraj pandey,akshay kumar danni denzongpa rana daggubati taapse pannu
327,La La Land,2016,comedi drama music,navig career lo angel pianist actress fall love attempt reconcil aspir futur,8.0,damien chazel,ryan gosl emma stone rosemari dewitt jk simmon
328,Lion,2016,biographi drama,fiveyearold indian boy adopt australian coupl get lost hundr kilomet home year later set lost famili,8.0,garth davi,dev patel nicol kidman rooney mara sunni pawar
329,The Martian,2015,adventur drama scifi,astronaut strand mar team assum dead reli ingenu way signal earth aliv,8.0,ridley scott,matt damon jessica chastain kristen wiig kate mara
330,Zootopia,2016,anim adventur comedi,citi anthropomorph anim rooki bunni cop cynic artist fox work uncov conspiraci,8.0,byron howard,rich moor jare bush ginnif goodwin jason bateman
331,Bãhubali: The Beginning,2015,action drama,ancient india adventur dare man involv decadesold feud war peopl,8.0,ss rajamouli,prabha rana daggubati ramya krishnan sathyaraj
332,Kaguyahime no monogatari,2013,anim adventur drama,insid shine stalk bamboo old bamboo cutter wife tini girl grow rapidli exquisit young ladi mysteri young princess enthral encount ultim confront fate punish crime,8.0,isao takahata,chloë grace moretz jame caan mari steenburgen jame marsden
333,Wonder,2017,drama famili,base new york time bestsel movi tell incred inspir heartwarm stori august pullman boy facial differ enter fifth grade attend mainstream elementari school time,8.0,stephen chboski,jacob tremblay owen wilson izabela vidov julia robert
334,Gully Boy,2019,drama music romanc,comingofag stori base live street rapper mumbai,8.0,zoya akhtar,vijay varma nakul roshan sahdev ranveer singh vijay raaz
335,Special Chabbis,2013,crime drama thriller,gang conmen rob promin rich businessmen politician pose cbi incom tax offic,8.0,neeraj pandey,akshay kumar anupam kher manoj bajpaye jimmi sheirgil
336,Short Term 12,2013,drama,supervis staff member residenti treatment facil navig troubl water world alongsid cowork longtim boyfriend,8.0,destin daniel cretton,brie larson frantz turner john gallagh jr kaitlyn dever
337,Serbuan maut 2: Berandal,2014,action crime thriller,short time raid rama goe undercov thug jakarta plan bring syndic uncov corrupt polic forc,8.0,gareth evan,iko uwai yayan ruhian arifin putra oka antara
338,The Imitation Game,2014,biographi drama thriller,world war ii english mathemat geniu alan ture tri crack german enigma code help fellow mathematician,8.0,morten tyldum,benedict cumberbatch keira knightley matthew good allen leech
339,Guardians of the Galaxy,2014,action adventur comedi,group intergalact crimin pull stop fanat warrior plan purg univers,8.0,jame gunn,chri pratt vin diesel bradley cooper zoe saldana
340,Blade Runner 2049,2017,action drama mysteri,young blade runner ks discoveri longburi secret lead track blade runner rick deckard who miss thirti year,8.0,deni villeneuv,harrison ford ryan gosl ana arma dave bautista
341,Her,2013,drama romanc scifi,near futur lone writer develop unlik relationship oper design meet need,8.0,spike jonz,joaquin phoenix ami adam scarlett johansson rooney mara
342,Bohemian Rhapsody,2018,biographi drama music,stori legendari british rock band queen lead singer freddi mercuri lead famou perform live aid,8.0,bryan singer,rami malek luci boynton gwilym lee ben hardi
343,The Revenant,2015,action adventur drama,frontiersman fur trade expedit s fight surviv maul bear left dead member hunt team,8.0,alejandro g iñárritu,leonardo dicaprio tom hardi poulter domhnal gleeson
344,The Perks of Being a Wallflower,2012,drama romanc,introvert freshman taken wing senior welcom real world,8.0,stephen chboski,logan lerman emma watson ezra miller paul rudd
345,Tropa de Elite 2: O Inimigo Agora é Outro,2010,action crime drama,prison riot formercaptain nascimento high rank secur offic rio janeiro swept bloodi polit disput involv govern offici paramilitari group,8.0,josé padilha,wagner moura irandhir santo andré ramiro milhem cortaz
346,The King's Speech,2010,biographi drama histori,stori king georg vi impromptu ascens throne british empir speech therapist help unsur monarch overcom stammer,8.0,tom hooper,colin firth geoffrey rush helena bonham carter derek jacobi
347,The Help,2011,drama,aspir author civil right movement s decid write book detail african american maid point view white famili work hardship daili basi,8.0,tate taylor,emma stone viola davi octavia spencer bryce dalla howard
348,Deadpool,2016,action adventur comedi,wisecrack mercenari get experi immort ugli set track man ruin look,8.0,tim miller,ryan reynold morena baccarin tj miller ed skrein
349,Darbareye Elly,2009,drama mysteri,mysteri disappear kindergarten teacher picnic north iran follow seri misadventur fellow travel,8.0,asghar farhadi,golshifteh farahani shahab hosseini taraneh alidoosti merila zarei
350,Dev.D,2009,drama romanc,break childhood sweetheart young man find solac drug teenag girl caught world prostitut destroy redempt,8.0,anurag kashyap,abhay deol mahi gill kalki koechlin dibyendu bhattacharya
351,Yip Man,2008,action biographi drama,japanes invas china wealthi martial artist forc leav home citi occupi littl mean provid ip man remain member citi way surviv,8.0,wilson yip,donni yen simon yam siuwong fan ka tung lam
352,My Name Is Khan,2010,drama,indian muslim man asperg syndrom take challeng speak presid unit state serious embark crosscountri journey,8.0,karan johar,shah rukh khan kajol sheetal menon kati kean
353,Nefes: Vatan Sagolsun,2009,action drama thriller,stori man turkish task forc defend relay station,8.0,levent semerci,erdem mete horozoglu ilker kizmaz bari bagci
354,Slumdog Millionaire,2008,drama romanc,mumbai teenag reflect life accus cheat indian version want millionair,8.0,danni boyl,loveleen tandan dev patel freida pinto saurabh shukla
355,Black Swan,2010,drama thriller,commit dancer struggl maintain saniti win lead role product tchaikovski swan lake,8.0,darren aronofski,natali portman mila kuni vincent cassel winona ryder
356,Tropa de Elite,2007,action crime drama,rio janeiro captain nascimento substitut posit tri drug dealer crimin pope visit,8.0,josé padilha,wagner moura andré ramiro caio junqueira milhem cortaz
357,The Avengers,2012,action adventur scifi,earth mightiest hero come learn fight team go stop mischiev loki alien armi enslav human,8.0,joss whedon,robert downey jr chri evan scarlett johansson jeremi renner
358,Persepolis,2007,anim biographi drama,precoci outspoken iranian girl grow islam revolut,8.0,vincent paronnaud,marjan satrapi chiara mastroianni catherin deneuv gena rowland
359,Dallas Buyers Club,2013,biographi drama,dalla electrician hustler ron woodroof work help aid patient medic need diagnos diseas,8.0,jeanmarc vallé,matthew mcconaughey jennif garner jare leto steve zahn
360,The Pursuit of Happyness,2006,biographi drama,struggl salesman take custodi son he pois begin lifechang profession career,8.0,gabriel muccino,smith thandi newton jaden smith brian howe
361,Blood Diamond,2006,adventur drama thriller,fisherman smuggler syndic businessmen match wit possess priceless diamond,8.0,edward zwick,leonardo dicaprio djimon hounsou jennif connelli kagiso kuyper
362,The Bourne Ultimatum,2007,action mysteri thriller,jason bourn dodg ruthless cia offici agent new assassin program search origin life train killer,8.0,paul greengrass,matt damon edgar ramírez joan allen julia stile
363,Bin-jip,2004,crime drama romanc,transient young man break home partak vacat resid live day,8.0,kiduk kim,seungyun lee hee jae hyukho kwon jinmo joo
364,Sin City,2005,crime thriller,movi explor dark miser town basin citi tell stori differ peopl caught violent corrupt,8.0,frank miller,quentin tarantino robert rodriguez mickey rourk clive owen
365,Le scaphandre et le papillon,2007,biographi drama,true stori ell editor jeandominiqu baubi suffer stroke live total paralyz bodi left eye isnt paralyz,8.0,julian schnabel,laura obiol mathieu amalr emmanuel seigner mariejosé croze
366,G.O.R.A.,2004,adventur comedi scifi,slick young turk kidnap extraterrestri show great humanitarian spirit outwit evil commanderinchief planet gora,8.0,ömer faruk sorak,cem yilmaz özge özberk ozan güven safak sezer
367,Ratatouille,2007,anim adventur comedi,rat cook make unusu allianc young kitchen worker famou restaur,8.0,brad bird,jan pinkava brad garrett lou romano patton oswalt
368,Casino Royale,2006,action adventur thriller,earn statu licenc kill secret agent jame bond set mission bond defeat privat banker fund terrorist highstak game poker casino royal montenegro,8.0,martin campbel,daniel craig eva green judi dench jeffrey wright
369,Kill Bill: Vol. 2,2004,action crime thriller,bride continu quest vengeanc boss lover reclus bouncer budd treacher oneey ell,8.0,quentin tarantino,uma thurman david carradin michael madsen daryl hannah
370,Vozvrashchenie,2003,drama,russian wilder brother face rang new conflict emot father man know singl photograph resurfac,8.0,andrey zvyagintsev,vladimir garin ivan dobronravov konstantin lavronenko nataliya vdovina
371,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,drama romanc,boy rais buddhist monk isol float templ year pass like season,8.0,kiduk kim,kiduk kim yeongsu oh jongho kim kim youngmin
372,Mar adentro,2014,biographi drama,factual stori spaniard ramon sampedro fought thirtyyear campaign favor euthanasia right die,8.0,alejandro amenábar,javier bardem belén rueda lola dueña mabel rivera
373,Cinderella Man,2005,biographi drama histori,stori jame j braddock supposedli washedup boxer came champion inspir s,8.0,ron howard,russel crow rené zellweg craig bierko paul giamatti
374,Kal Ho Naa Ho,2003,comedi drama music,naina introvert perpetu depress girl life chang meet aman aman secret chang live forev embroil rohit naina best friend conceal love,8.0,nikkhil advani,preiti zinta shah rukh khan saif ali khan jaya bachchan
375,Mou gaan dou,2002,action crime drama,stori mole polic depart undercov cop object mole cop,8.0,andrew lau,alan mak andi lau toni chiuwai leung anthoni chausang wong
376,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action adventur fantasi,blacksmith turner team eccentr pirat captain jack sparrow save love governor daughter jack pirat alli undead,8.0,gore verbinski,johnni depp geoffrey rush orlando bloom keira knightley
377,Big Fish,2003,adventur drama fantasi,frustrat son tri determin fact fiction die father life,8.0,tim burton,ewan mcgregor albert finney billi crudup jessica lang
378,The Incredibles,2004,anim action adventur,famili undercov superhero tri live quiet suburban life forc action save world,8.0,brad bird,craig t nelson samuel l jackson holli hunter jason lee
379,Yeopgijeogin geunyeo,2001,comedi drama romanc,young man see drunk cute woman stand close track metro station seoul pull end get troubl repeatedli start train,8.0,jaeyoung kwak,taehyun cha jun jihyun inmun kim song woksuk
380,Dogville,2003,crime drama,woman run mob reluctantli accept small colorado commun exchang labor search visit town find support price,8.0,lar von trier,nicol kidman paul bettani lauren bacal harriet andersson
381,Vizontele,2001,comedi drama,live resid small anatolian villag chang televis introduc,8.0,yilmaz erdogan,ömer faruk sorak yilmaz erdogan demet akbag altan erkekli
382,Donnie Darko,2001,drama mysteri scifi,narrowli escap bizarr accid troubl teenag plagu vision man larg rabbit suit manipul commit seri crime,8.0,richard kelli,jake gyllenha jena malon mari mcdonnel holm osborn
383,Magnolia,1999,drama,epic mosaic interrel charact search love forgiv mean san fernando valley,8.0,paul thoma anderson,tom cruis jason robard juliann moor philip seymour hoffman
384,Dancer in the Dark,2000,crime drama music,east european girl travel unit state young son expect like hollywood film,8.0,lar von trier,björk catherin deneuv david mors peter stormar
385,The Straight Story,1999,biographi drama,old man make long journey lawnmow mend relationship ill brother,8.0,david lynch,richard farnsworth sissi spacek jane galloway heitz joseph carpent
386,Pâfekuto burû,1997,anim crime mysteri,pop singer give career actress slowli goe insan start stalk obsess fan ghost past,8.0,satoshi kon,junko iwao rica matsumoto shinpachi tsuji masaaki ôkura
387,Festen,1998,drama,helg th birthday parti unpleas famili truth reveal,8.0,thoma vinterberg,ulrich thomsen hen moritzen thoma bo larsen paprika steen
388,Central do Brasil,1998,drama,emot journey school teacher write letter illiter peopl young boy mother just die search father knew,8.0,walter sall,fernanda montenegro viníciu oliveira marília pêra soia lira
389,The Iron Giant,1999,anim action adventur,young boy befriend giant robot outer space paranoid govern agent want destroy,8.0,brad bird,eli marienth harri connick jr jennif aniston vin diesel
390,Knockin' on Heaven's Door,1997,action crime comedi,termin ill patient escap hospit steal car rush sea,8.0,thoma jahn,til schweiger jan josef liefer thierri van wervek moritz bleibtreu
391,Sling Blade,1996,drama,karl childer simpl man hospit childhood murder mother lover releas start new life small town,8.0,billi bob thornton,billi bob thornton dwight yoakam jt walsh john ritter
392,Secrets & Lies,1996,comedi drama,follow death adopt parent success young black optometrist establish contact biolog mother lone white factori worker live poverti east london,8.0,mike leigh,timothi spall brenda blethyn phylli logan clair rushbrook
393,Twelve Monkeys,1995,mysteri scifi thriller,futur world devast diseas convict sent time gather inform manmad viru wipe human popul planet,8.0,terri gilliam,bruce willi madelein stow brad pitt joseph melito
394,Kôkaku Kidôtai,1995,anim action crime,cyborg policewoman partner hunt mysteri power hacker call puppet master,8.0,mamoru oshii,atsuko tanaka iemasa kayumi akio ôtsuka kôichi yamadera
395,The Nightmare Before Christmas,1993,anim famili fantasi,jack skellington king halloween town discov christma town attempt bring christma home caus confus,8.0,henri selick,danni elfman chri sarandon catherin ohara william hickey
396,Groundhog Day,1993,comedi fantasi romanc,weatherman find inexplic live day,8.0,harold rami,murray andi macdowel chri elliott stephen tobolowski
397,Bound by Honor,1993,crime drama,base true life experi poet jimmi santiago baca film focus stepbroth paco cruz biraci cousin miklo,8.0,taylor hackford,damian chapa jess borrego benjamin bratt enriqu castillo
398,Scent of a Woman,1992,drama,prep school student need money agre babysit blind man job anticip,8.0,martin brest,al pacino chri odonnel jame rebhorn gabriel anwar
399,Aladdin,1992,anim adventur comedi,kindheart street urchin powerhungri grand vizier vie magic lamp power make deepest wish come true,8.0,ron clement,john musker scott weinger robin william linda larkin
400,JFK,1991,drama histori thriller,new orlean district attorney jim garrison discov there kennedi assassin offici stori,8.0,oliv stone,kevin costner gari oldman jack lemmon walter matthau
401,Beauty and the Beast,1991,anim famili fantasi,princ curs spend day hideou monster set regain human earn young woman love,8.0,gari trousdal,kirk wise paig ohara robbi benson jess corti
402,Dances with Wolves,1990,adventur drama western,lieuten john dunbar assign remot western civil war outpost befriend wolv indian make intoler aberr militari,8.0,kevin costner,kevin costner mari mcdonnel graham green rodney grant
403,Do the Right Thing,1989,comedi drama,hottest day year street bedfordstuyves section brooklyn everyon hate bigotri smolder build explod violenc,8.0,spike lee,danni aiello ossi davi rubi dee richard edson
404,Rain Man,1988,drama,selfish yuppi charli babbitt father left fortun savant brother raymond pittanc charli travel crosscountri,8.0,barri levinson,dustin hoffman tom cruis valeria golino gerald r molen
405,Akira,1988,anim action scifi,secret militari project endang neotokyo turn biker gang member rampag psychic psychopath stop teenag group psychic,8.0,katsuhiro ôtomo,mitsuo iwata nozomu sasaki mami koyama tesshô genda
406,The Princess Bride,1987,adventur famili fantasi,home sick bed young boy grandfath read stori farmboyturnedpir encount numer obstacl enemi alli quest reunit true love,8.0,rob reiner,cari elw mandi patinkin robin wright chri sarandon
407,Der Himmel über Berlin,1987,drama fantasi romanc,angel tire overse human activ wish human fall love mortal,8.0,wim wender,bruno ganz solveig dommartin otto sander curt boi
408,Au revoir les enfants,1987,drama war,french board school run priest haven world war ii new student arriv roommat student class rival roommat form bond share secret,8.0,loui mall,gaspard maness raphael fejtö francin racett stanisla carré malberg
409,Tenkû no shiro Rapyuta,1986,anim adventur drama,young boy girl magic crystal race pirat foreign agent search legendari float castl,8.0,hayao miyazaki,mayumi tanaka keiko yokozawa koto hatsui minori terada
410,The Terminator,1984,action scifi,human soldier sent stop indestruct cyborg kill machin sent year program execut young woman unborn son key human futur salvat,8.0,jame cameron,arnold schwarzenegg linda hamilton michael biehn paul winfield
411,Gandhi,1982,biographi drama histori,life lawyer fame leader indian revolt british rule philosophi nonviol protest,8.0,richard attenborough,ben kingsley john gielgud rohini hattangadi roshan seth
412,Kagemusha,1980,drama histori war,petti thief utter resembl samurai warlord hire lord doubl warlord later die thief forc arm place,8.0,akira kurosawa,tatsuya nakadai tsutomu yamazaki kenichi hagiwara jinpachi nezu
413,Being There,1979,comedi drama,simplemind shelter garden unlik trust advisor power businessman insid washington polit,8.0,hal ashbi,peter seller shirley maclain melvyn dougla jack warden
414,Annie Hall,1977,comedi romanc,neurot new york comedian alvi singer fall love ditzi anni hall,8.0,woodi allen,woodi allen dian keaton toni robert carol kane
415,Jaws,1975,adventur thriller,killer shark unleash chao beach commun local sheriff marin biologist old seafar hunt beast,8.0,steven spielberg,roy scheider robert shaw richard dreyfuss lorrain gari
416,Dog Day Afternoon,1975,biographi crime drama,amateur bank robber plan hold bank nice simpl robberi walk money run unfortun supposedli uncompl heist suddenli bizarr nightmar wrong doe,8.0,sidney lumet,al pacino john cazal penelop allen sulli boyar
